record_id,factory_id,factory_name,industry_type,date,emission_source,category,quantity,unit,emission_factor,co2_emission_kg,cost_inr,waste_type,waste_quantity_kg,priority_level
GE001,F002,GreenPack Plastics,Plastic Packaging,2026-08-20,transport fuel,Transport,454.4,litres,2.68,1217.79,43961.42,Commercial Van Lubricant Sludge,10.4,Medium
GE002,F002,GreenPack Plastics,Plastic Packaging,2025-09-09,plastic scrap,Waste,1158.5,kg,1.85,2143.22,36936.55,Defective Thermoformed Blisters,561.4,Medium
GE003,F002,GreenPack Plastics,Plastic Packaging,2025-06-08,recycled plastic,Material,5300.1,kg,0.75,3975.08,356659.93,Extruder Screen Pack Char,39.0,Medium
GE004,F002,GreenPack Plastics,Plastic Packaging,2026-03-10,water usage,Water,232.6,m3,0.38,88.39,9700.11,Chilled Water Loop Flushing,230.9,Low
GE005,F002,GreenPack Plastics,Plastic Packaging,2025-08-07,packaging waste,Waste,1004.0,kg,1.62,1626.48,22819.69,Damaged Corrugated Separators,611.0,Medium
GE006,F002,GreenPack Plastics,Plastic Packaging,2026-01-01,electricity,Energy,15444.9,kWh,0.82,12664.82,155809.89,None (Direct Grid Energy),0.0,Medium
GE007,F002,GreenPack Plastics,Plastic Packaging,2025-04-12,water usage,Water,459.3,m3,0.38,174.53,24131.46,Chilled Water Loop Flushing,238.1,Low
GE008,F002,GreenPack Plastics,Plastic Packaging,2025-02-11,transport fuel,Transport,1183.0,litres,2.68,3170.44,114023.71,Commercial Van Lubricant Sludge,23.4,High
GE009,F002,GreenPack Plastics,Plastic Packaging,2026-05-12,transport fuel,Transport,1599.9,litres,2.68,4287.73,161187.99,Commercial Van Lubricant Sludge,18.7,Medium
GE010,F002,GreenPack Plastics,Plastic Packaging,2026-07-17,packaging waste,Waste,1224.6,kg,1.62,1983.85,36514.0,Stretch Film Offcut Waste,762.9,Medium
GE011,F002,GreenPack Plastics,Plastic Packaging,2025-12-04,diesel generator,Energy,185.3,litres,2.68,496.6,17286.46,Spent Crankcase Oil Sludge,10.2,High
GE012,F002,GreenPack Plastics,Plastic Packaging,2026-05-18,electricity,Energy,12269.1,kWh,0.82,10060.66,136245.0,None (Direct Grid Energy),0.0,High
GE013,F002,GreenPack Plastics,Plastic Packaging,2026-01-04,transport fuel,Transport,984.5,litres,2.68,2638.46,99021.15,Tire Wear Particle Dust,7.7,High
GE014,F002,GreenPack Plastics,Plastic Packaging,2025-10-06,recycled plastic,Material,2567.9,kg,0.75,1925.93,180718.41,Non-homogenized Regrind Fines,37.1,Low
GE015,F002,GreenPack Plastics,Plastic Packaging,2025-04-13,recycled plastic,Material,1097.1,kg,0.75,822.82,91331.87,Extruder Screen Pack Char,9.1,Low
GE016,F002,GreenPack Plastics,Plastic Packaging,2025-12-15,electricity,Energy,5288.4,kWh,0.82,4336.49,57473.03,Defective Capacitor Scrap,1.1,Medium
GE017,F002,GreenPack Plastics,Plastic Packaging,2025-09-01,water usage,Water,438.4,m3,0.38,166.59,22161.73,Cooling Bath Discharge Effluent,195.4,Medium
GE018,F002,GreenPack Plastics,Plastic Packaging,2025-12-11,plastic scrap,Waste,1614.7,kg,1.85,2987.2,41626.09,Polypropylene Slit Edge Trimmings,1200.3,Medium
GE019,F002,GreenPack Plastics,Plastic Packaging,2025-04-26,transport fuel,Transport,461.0,litres,2.68,1235.48,43642.75,Tire Wear Particle Dust,4.8,Medium
GE020,F002,GreenPack Plastics,Plastic Packaging,2026-02-22,water usage,Water,342.6,m3,0.38,130.19,18992.19,Cooling Bath Discharge Effluent,248.9,Low
GE021,F002,GreenPack Plastics,Plastic Packaging,2026-03-13,packaging waste,Waste,1392.6,kg,1.62,2256.01,37534.93,Stretch Film Offcut Waste,352.8,Medium
GE022,F002,GreenPack Plastics,Plastic Packaging,2026-05-02,water usage,Water,283.4,m3,0.38,107.69,13593.78,Quench Tank Wastewater,300.4,Low
GE023,F002,GreenPack Plastics,Plastic Packaging,2025-05-17,water usage,Water,376.3,m3,0.38,142.99,20868.64,Chilled Water Loop Flushing,337.0,Medium
GE024,F002,GreenPack Plastics,Plastic Packaging,2025-08-01,transport fuel,Transport,805.0,litres,2.68,2157.4,80256.45,Tire Wear Particle Dust,3.7,Medium
GE025,F002,GreenPack Plastics,Plastic Packaging,2025-08-05,plastic scrap,Waste,1199.0,kg,1.85,2218.15,39893.94,Punched Edge Strips,112.1,High
GE026,F002,GreenPack Plastics,Plastic Packaging,2025-03-19,transport fuel,Transport,1701.9,litres,2.68,4561.09,168217.44,Air Intake Filter Media,5.3,Medium
GE027,F002,GreenPack Plastics,Plastic Packaging,2025-09-27,diesel generator,Energy,248.2,litres,2.68,665.18,23633.83,Fuel Filter Cartridge Waste,6.9,High
GE028,F002,GreenPack Plastics,Plastic Packaging,2026-01-16,electricity,Energy,6864.2,kWh,0.82,5628.64,59931.1,Defective Capacitor Scrap,2.1,Medium
GE029,F002,GreenPack Plastics,Plastic Packaging,2026-06-28,packaging waste,Waste,1021.0,kg,1.62,1654.02,28233.78,Discarded Adhesive Tape Liners,213.7,Medium
GE030,F002,GreenPack Plastics,Plastic Packaging,2025-07-20,packaging waste,Waste,1396.0,kg,1.62,2261.52,35259.95,Discarded Adhesive Tape Liners,294.5,Medium
