record_id,factory_id,factory_name,industry_type,date,emission_source,category,quantity,unit,emission_factor,co2_emission_kg,cost_inr,waste_type,waste_quantity_kg,priority_level
ME001,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2025-08-17,natural-gas boiler,Energy,11667.6,m3,2.05,23918.58,745336.55,Acidic Economizer Descaling Scale,246.4,High
ME002,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2026-05-18,transport fuel,Transport,2550.9,litres,2.68,6836.41,250514.07,Fleet Brake Wear Particulate,15.0,High
ME003,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2026-04-06,transport fuel,Transport,1955.6,litres,2.68,5241.01,183875.97,Temperature-controlled Van Exhaust Soot,9.5,High
ME004,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2025-09-15,chemical solvents,Material,11869.8,litres,2.85,33828.93,2637723.2,Spent Acetone Distillation Bottoms,349.4,High
ME005,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2025-03-20,hazardous waste,Waste,4125.7,kg,3.1,12789.67,517385.98,Off-spec Pharmaceutical Intermediate Mass,2599.2,High
ME006,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2026-08-15,hazardous waste,Waste,831.8,kg,3.1,2578.58,83158.55,Off-spec Pharmaceutical Intermediate Mass,1352.1,High
ME007,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2026-02-13,chemical wastewater,Water,347.0,m3,1.25,433.75,53931.88,High-COD Chemical Flocculant Cake,1479.6,High
ME008,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2026-05-18,transport fuel,Transport,2329.7,litres,2.68,6243.6,239195.55,Heavy Reefer Engine Oil Residue,32.8,High
ME009,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2026-06-10,medicine packaging,Material,5092.1,kg,1.7,8656.57,665494.06,Damaged Aluminium Pouch Foil Offcuts,258.7,High
ME010,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2026-06-20,refrigeration,Energy,37791.4,kWh,0.82,30988.95,402162.93,Ultra-low Chiller Brine Purge,135.4,Medium
ME011,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2025-05-05,natural-gas boiler,Energy,21215.4,m3,2.05,43491.57,1100578.98,Boiler Blowdown Sludge,335.9,High
ME012,F001,MedicoChem Pharmaceuticals,Pharmaceutical Manufacturing,2025-11-12,laboratory waste,Waste,464.4,kg,2.4,1114.56,188442.4,Expired Analytical Standards Matrix,66.4,Medium
