Date (YYYY-MM-DD),Frequency,Electricity (kWh),Diesel (Liters),Natural Gas (m3),Truck Freight (km),Organic Waste (kg),Plastic Waste (kg),Water (m3),Production Units,Notes
2024-04-15,monthly,28500,950,2200,4200,1800,1200,480,12000,April 2024 Operations
2024-05-15,monthly,31000,1020,2400,4500,1950,1300,520,13500,May 2024 Operations
2024-06-15,monthly,33500,1100,2600,4800,2100,1400,560,14200,June 2024 Operations
2024-07-15,monthly,35000,1150,2700,5000,2200,1450,590,15000,July 2024 Peak Operations
2024-08-15,monthly,34200,1120,2650,4900,2150,1420,580,14800,August 2024 Operations
2024-09-15,monthly,32000,1050,2500,4600,2000,1350,540,13800,September 2024 Operations
2024-10-15,monthly,30500,1000,2350,4400,1900,1280,510,13200,October 2024 Operations
2024-11-15,monthly,29000,980,2250,4300,1850,1220,490,12500,November 2024 Operations
2024-12-15,monthly,28000,940,2150,4100,1750,1180,470,12000,December 2024 Operations
2025-01-15,monthly,27500,920,2100,4000,1700,1150,460,11800,January 2025 Operations
2025-02-15,monthly,28200,960,2180,4150,1780,1190,475,12100,February 2025 Operations
2025-03-15,monthly,30000,1010,2320,4450,1920,1270,505,13000,March 2025 Operations
